w1 w2 q a
афины_NOUN греция_NOUN гавана_NOUN куба_NOUN
афины_NOUN греция_NOUN москва_NOUN россия_NOUN
афины_NOUN греция_NOUN париж_NOUN франция_NOUN
гавана_NOUN куба_NOUN москва_NOUN россия_NOUN
гавана_NOUN куба_NOUN париж_NOUN франция_NOUN
гавана_NOUN куба_NOUN афины_NOUN греция_NOUN
москва_NOUN россия_NOUN париж_NOUN франция_NOUN
москва_NOUN россия_NOUN афины_NOUN греция_NOUN
москва_NOUN россия_NOUN гавана_NOUN куба_NOUN
париж_NOUN франция_NOUN афины_NOUN греция_NOUN
париж_NOUN франция_NOUN гавана_NOUN куба_NOUN
париж_NOUN франция_NOUN москва_NOUN россия_NOUN
алжир_NOUN алжир_NOUN анкара_NOUN турция_NOUN
алжир_NOUN алжир_NOUN афины_NOUN греция_NOUN
алжир_NOUN алжир_NOUN бейрут_NOUN ливан_NOUN
алжир_NOUN алжир_NOUN братислава_NOUN словакия_NOUN
алжир_NOUN алжир_NOUN бухарест_NOUN румыния_NOUN
алжир_NOUN алжир_NOUN дамаск_NOUN сирия_NOUN
анкара_NOUN турция_NOUN афины_NOUN греция_NOUN
анкара_NOUN турция_NOUN бейрут_NOUN ливан_NOUN
анкара_NOUN турция_NOUN братислава_NOUN словакия_NOUN
анкара_NOUN турция_NOUN бухарест_NOUN румыния_NOUN
анкара_NOUN турция_NOUN дамаск_NOUN сирия_NOUN
афины_NOUN греция_NOUN бейрут_NOUN ливан_NOUN
афины_NOUN греция_NOUN братислава_NOUN словакия_NOUN
афины_NOUN греция_NOUN бухарест_NOUN румыния_NOUN
афины_NOUN греция_NOUN дамаск_NOUN сирия_NOUN
афины_NOUN греция_NOUN гавана_NOUN куба_NOUN
бейрут_NOUN ливан_NOUN братислава_NOUN словакия_NOUN
бейрут_NOUN ливан_NOUN бухарест_NOUN румыния_NOUN
бейрут_NOUN ливан_NOUN дамаск_NOUN сирия_NOUN
бейрут_NOUN ливан_NOUN гавана_NOUN куба_NOUN
братислава_NOUN словакия_NOUN бухарест_NOUN румыния_NOUN
братислава_NOUN словакия_NOUN дамаск_NOUN сирия_NOUN
братислава_NOUN словакия_NOUN гавана_NOUN куба_NOUN
бухарест_NOUN румыния_NOUN дамаск_NOUN сирия_NOUN
бухарест_NOUN румыния_NOUN гавана_NOUN куба_NOUN
дамаск_NOUN сирия_NOUN гавана_NOUN куба_NOUN
дамаск_NOUN сирия_NOUN москва_NOUN россия_NOUN
гавана_NOUN куба_NOUN москва_NOUN россия_NOUN
гавана_NOUN куба_NOUN париж_NOUN франция_NOUN
москва_NOUN россия_NOUN париж_NOUN франция_NOUN
москва_NOUN россия_NOUN подгорица_NOUN черногория_NOUN
москва_NOUN россия_NOUN софия_NOUN болгария_NOUN
москва_NOUN россия_NOUN тайбэй_NOUN тайвань_NOUN
москва_NOUN россия_NOUN вена_NOUN австрия_NOUN
париж_NOUN франция_NOUN подгорица_NOUN черногория_NOUN
париж_NOUN франция_NOUN софия_NOUN болгария_NOUN
париж_NOUN франция_NOUN тайбэй_NOUN тайвань_NOUN
париж_NOUN франция_NOUN вена_NOUN австрия_NOUN
париж_NOUN франция_NOUN алжир_NOUN алжир_NOUN
париж_NOUN франция_NOUN анкара_NOUN турция_NOUN
подгорица_NOUN черногория_NOUN софия_NOUN болгария_NOUN
подгорица_NOUN черногория_NOUN тайбэй_NOUN тайвань_NOUN
подгорица_NOUN черногория_NOUN вена_NOUN австрия_NOUN
подгорица_NOUN черногория_NOUN алжир_NOUN алжир_NOUN
подгорица_NOUN черногория_NOUN анкара_NOUN турция_NOUN
софия_NOUN болгария_NOUN тайбэй_NOUN тайвань_NOUN
софия_NOUN болгария_NOUN вена_NOUN австрия_NOUN
софия_NOUN болгария_NOUN алжир_NOUN алжир_NOUN
софия_NOUN болгария_NOUN анкара_NOUN турция_NOUN
софия_NOUN болгария_NOUN афины_NOUN греция_NOUN
